drug_id,atom_id,atom_type,charge
d139,d139_3,c,22
d139,d139_4,c,22
d139,d139_5,c,22
d139,d139_6,c,22
d139,d139_7,h,3
d139,d139_8,h,3
d139,d139_9,h,3
d139,d139_10,n,32
d139,d139_11,h,1
d139,d139_12,h,1
d139,d139_13,n,38
d139,d139_14,cl,93
d139,d139_15,o,40
d139,d139_16,o,40
d14,d14_1,c,22
d14,d14_2,c,22
d14,d14_3,c,26
d14,d14_4,c,26
d14,d14_5,c,22
d14,d14_6,c,22
d14,d14_7,c,21
d14,d14_8,n,34
d14,d14_9,n,34
d14,d14_10,c,10
d14,d14_11,n,38
d14,d14_12,o,40
d14,d14_13,o,40
d14,d14_14,h,3
d14,d14_15,h,3
d14,d14_16,h,3
d14,d14_17,h,3
d14,d14_18,h,3
d14,d14_19,h,3
d14,d14_20,h,3
d140,d140_1,c,22
d140,d140_2,c,22
d140,d140_3,c,27
d140,d140_4,c,27
d140,d140_5,c,22
d140,d140_6,c,22
d140,d140_7,h,3
d140,d140_8,h,3
d140,d140_9,h,3
d140,d140_10,c,22
d140,d140_11,c,22
d140,d140_12,c,22
d140,d140_13,c,22
d140,d140_14,h,3
d140,d140_15,h,3
d140,d140_16,h,3
d140,d140_17,n,38
d140,d140_18,n,38
d140,d140_19,o,40
d140,d140_20,o,40
d140,d140_21,o,40
d140,d140_22,o,40
d141,d141_1,c,22
d141,d141_2,c,22
d141,d141_3,c,22
d141,d141_4,c,22
d141,d141_5,c,22
d141,d141_6,c,22
d141,d141_7,h,3
d141,d141_8,h,3
d141,d141_9,h,3
d141,d141_10,n,38
d141,d141_11,cl,93
d141,d141_12,cl,93
d141,d141_13,o,40
d141,d141_14,o,40
d142,d142_1,c,22
d142,d142_2,c,22
d142,d142_3,c,22
d142,d142_4,c,22
d142,d142_5,c,22
d142,d142_6,c,22
d142,d142_7,h,3
d142,d142_8,h,3
d142,d142_9,o,50
d142,d142_10,c,22
d142,d142_11,c,22
d142,d142_12,o,50
d142,d142_13,c,22
d142,d142_14,c,22
d142,d142_15,c,22
d142,d142_16,c,22
d142,d142_17,h,3
d142,d142_18,h,3
d142,d142_19,n,38
d142,d142_20,o,40
d142,d142_21,o,40
d142,d142_22,cl,93
d142,d142_23,cl,93
d142,d142_24,cl,93
d143,d143_1,c,22
d143,d143_2,c,22
d143,d143_3,c,22
d143,d143_4,c,22
d143,d143_5,c,22
d143,d143_6,c,22
d143,d143_7,h,3
d143,d143_8,h,3
d143,d143_9,h,3
d143,d143_10,h,3
d143,d143_11,o,50
d143,d143_12,c,22
d143,d143_13,c,22
d143,d143_14,c,22
d143,d143_15,c,22
d143,d143_16,c,22
d143,d143_17,c,22
d143,d143_18,h,3
d143,d143_19,h,3
d143,d143_20,h,3
d143,d143_21,h,3
d143,d143_22,h,3
d143,d143_23,n,38
d143,d143_24,o,40
d143,d143_25,o,40
d144,d144_1,c,22
d144,d144_2,c,22
d144,d144_3,c,22
d144,d144_4,c,22
d144,d144_5,c,22
d144,d144_6,c,22
d144,d144_7,h,3
d144,d144_8,h,3
d144,d144_9,h,3
d144,d144_10,n,38
d144,d144_11,cl,93
d144,d144_12,cl,93
d144,d144_13,o,40
d144,d144_14,o,40
d145,d145_1,c,22
d145,d145_2,c,22
d145,d145_3,c,22
d145,d145_4,c,29
d145,d145_5,c,22
d145,d145_6,c,22
d145,d145_7,h,3
d145,d145_8,h,3
d145,d145_9,h,3
d145,d145_10,h,3
d145,d145_11,c,29
d145,d145_12,c,22
d145,d145_13,c,22
d145,d145_14,c,22
d145,d145_15,c,22
d145,d145_16,c,22
d145,d145_17,h,3
d145,d145_18,h,3
d145,d145_19,h,3
d145,d145_20,h,3
d145,d145_21,n,32
d145,d145_22,n,38
d145,d145_23,o,40
d145,d145_24,o,40
d145,d145_25,h,1
d145,d145_26,h,1
d146,d146_1,c,22
d146,d146_2,c,22
d146,d146_3,c,22
d146,d146_4,c,29
d146,d146_5,c,22
d146,d146_6,c,22
d146,d146_7,h,3
d146,d146_8,h,3
d146,d146_9,h,3
d146,d146_10,h,3
d146,d146_11,c,29
d146,d146_12,c,22
d146,d146_13,c,22
d146,d146_14,c,22
d146,d146_15,c,22
d146,d146_16,c,22
d146,d146_17,h,3
d146,d146_18,h,3
d146,d146_19,h,3
d146,d146_20,n,38
d146,d146_21,o,40
d146,d146_22,o,40
d146,d146_23,h,3
d146,d146_24,n,32
d146,d146_25,h,1
d146,d146_26,h,1
d147,d147_1,c,22
d147,d147_2,c,22
d147,d147_3,c,26
d147,d147_4,c,26
d147,d147_5,c,22
d147,d147_6,c,22
d147,d147_7,n,34
d147,d147_8,c,21
d147,d147_9,n,34
d147,d147_10,c,10
d147,d147_11,n,38
d147,d147_12,o,40
d147,d147_13,o,40
d147,d147_14,h,3
d147,d147_15,h,3
d147,d147_16,h,3
d147,d147_17,h,3
d147,d147_18,h,3
d147,d147_19,h,3
d148,d148_1,c,22
d148,d148_2,c,22
d148,d148_3,c,27
d148,d148_4,c,27
d148,d148_5,c,26
d148,d148_6,c,22
d148,d148_7,c,22
d148,d148_8,c,22
d148,d148_9,c,22
d148,d148_10,c,26
d148,d148_11,c,21
d148,d148_12,c,21
d148,d148_13,h,3
d148,d148_14,h,3
d148,d148_15,h,3
d148,d148_16,h,3
d148,d148_17,h,3
d148,d148_18,h,3
d148,d148_19,h,3
d148,d148_20,n,38
d148,d148_21,o,40
d148,d148_22,o,40
d149,d149_1,c,22
d149,d149_2,c,22
d149,d149_3,c,22
d149,d149_4,c,22
d149,d149_5,c,22
d149,d149_6,c,22
d149,d149_7,h,3
d149,d149_8,h,3
d149,d149_9,h,3
d149,d149_10,n,32
d149,d149_11,c,22
d149,d149_12,c,22
d149,d149_13,n,32
d149,d149_14,c,22
d149,d149_15,c,22
d149,d149_16,c,22
d149,d149_17,c,22
d149,d149_18,h,3
d149,d149_19,h,3
d149,d149_20,h,3
d149,d149_21,h,1
d149,d149_22,h,1
d149,d149_23,n,38
d149,d149_24,n,38
d149,d149_25,o,40
d149,d149_26,o,40
d149,d149_27,o,40
d149,d149_28,o,40
d15,d15_1,c,22
d15,d15_2,c,22
d15,d15_3,c,27
d15,d15_4,c,27
d15,d15_5,c,27
d15,d15_6,c,22
d15,d15_7,h,3
d15,d15_8,h,3
d15,d15_9,h,3
d15,d15_10,c,27
d15,d15_11,c,27
d15,d15_12,c,22
d15,d15_13,c,22
d15,d15_14,h,3
d15,d15_15,h,3
d15,d15_16,c,22
d15,d15_17,c,22
d15,d15_18,c,27
d15,d15_19,h,3
d15,d15_20,h,3
d15,d15_21,c,22
d15,d15_22,c,22
d15,d15_23,c,22
d15,d15_24,h,3
d15,d15_25,h,3
d15,d15_26,n,38
d15,d15_27,o,40
d15,d15_28,o,40
d150,d150_1,c,21
d150,d150_2,c,21
d150,d150_3,n,34
d150,d150_4,c,21
d150,d150_5,n,34
d150,d150_6,n,38
d150,d150_7,o,40
d150,d150_8,o,40
d150,d150_9,c,10
d150,d150_10,c,10
d150,d150_11,o,45
d150,d150_12,c,10
d150,d150_13,h,3
d150,d150_14,h,3
d150,d150_15,h,3
d150,d150_16,h,3
d150,d150_17,h,3
d150,d150_18,h,8
d150,d150_19,h,3
d150,d150_20,h,3
d150,d150_21,h,3
d151,d151_1,c,22
d151,d151_2,c,22
d151,d151_3,c,26
d151,d151_4,c,26
d151,d151_5,c,22
d151,d151_6,c,22
d151,d151_7,n,34
d151,d151_8,n,34
d151,d151_9,c,21
d151,d151_10,n,38
d151,d151_11,o,40
d151,d151_12,o,40
d151,d151_13,h,3
d151,d151_14,h,3
d151,d151_15,h,3
d151,d151_16,h,3
d151,d151_17,h,1
d152,d152_1,c,22
d152,d152_2,c,22
d152,d152_3,c,27
d152,d152_4,c,27
d152,d152_5,c,28
d152,d152_6,c,22
d152,d152_7,h,3
d152,d152_8,h,3
d152,d152_9,c,22
d152,d152_10,c,22
d152,d152_11,c,22
d152,d152_12,c,29
d152,d152_13,h,3
d152,d152_14,h,3
d152,d152_15,c,28
d152,d152_16,c,28
d152,d152_17,c,22
d152,d152_18,c,22
d152,d152_19,c,22
d152,d152_20,c,22
d152,d152_21,h,3
d152,d152_22,h,3
d152,d152_23,h,3
d152,d152_24,h,3
d152,d152_25,n,38
d152,d152_26,n,38
d152,d152_27,o,40
d152,d152_28,o,40
d152,d152_29,o,40
d152,d152_30,o,40
d153,d153_1,c,22
d153,d153_2,c,22
d153,d153_3,c,27
d153,d153_4,c,27
d153,d153_5,c,22
d153,d153_6,c,22
d153,d153_7,h,3
d153,d153_8,h,3
d153,d153_9,h,3
d153,d153_10,c,22
d153,d153_11,c,22
d153,d153_12,c,22
d153,d153_13,c,22
d153,d153_14,h,3
d153,d153_15,h,3
d153,d153_16,c,10
d153,d153_17,c,10
d153,d153_18,h,3
d153,d153_19,h,3
d153,d153_20,h,3
d153,d153_21,h,3
d153,d153_22,n,38
d153,d153_23,o,40
d153,d153_24,o,40
d154,d154_1,c,22
d154,d154_2,c,22
d154,d154_3,c,26
d154,d154_4,c,26
d154,d154_5,c,22
d154,d154_6,c,22
d154,d154_7,n,34
d154,d154_8,c,21
d154,d154_9,n,34
d154,d154_10,n,38
d154,d154_11,o,40
d154,d154_12,o,40
d154,d154_13,h,3
d154,d154_14,h,3
d154,d154_15,h,3
d154,d154_16,h,3
d154,d154_17,h,1
d155,d155_1,c,22
d155,d155_2,c,22
d155,d155_3,c,22
d155,d155_4,c,22
d155,d155_5,c,22
d155,d155_6,c,22
d155,d155_7,h,3
d155,d155_8,h,3
d155,d155_9,h,3
d155,d155_10,o,50
d155,d155_11,c,10
d155,d155_12,h,3
d155,d155_13,h,3
d155,d155_14,h,3
d155,d155_15,n,38
d155,d155_16,n,38
d155,d155_17,o,40
d155,d155_18,o,40
d155,d155_19,o,40
d155,d155_20,o,40
d156,d156_1,c,22
d156,d156_2,c,22
d156,d156_3,c,22
d156,d156_4,c,22
d156,d156_5,c,22
d156,d156_6,c,22
d156,d156_7,h,3
d156,d156_8,h,3
d156,d156_9,h,3
d156,d156_10,n,32
d156,d156_11,c,10
d156,d156_12,c,10
d156,d156_13,h,1
d156,d156_14,h,3
d156,d156_15,h,3
d156,d156_16,h,3
d156,d156_17,h,3
d156,d156_18,n,38
d156,d156_19,o,40
d156,d156_20,o,40
d157,d157_1,c,16
d157,d157_2,c,10
d157,d157_3,c,22
d157,d157_4,c,27
d157,d157_5,c,22
d157,d157_6,c,16
d157,d157_7,c,22
d157,d157_8,c,22
d157,d157_9,c,27
d157,d157_10,c,27
d157,d157_11,c,27
d157,d157_12,c,22
d157,d157_13,c,22
d157,d157_14,c,22
d157,d157_15,c,22
d157,d157_16,c,22
d157,d157_17,h,3
d157,d157_18,h,3
d157,d157_19,h,3
d157,d157_20,h,3
d157,d157_21,h,3
d157,d157_22,h,3
d157,d157_23,h,3
d157,d157_24,h,3
d157,d157_25,h,3
d157,d157_26,h,3
d157,d157_27,n,38
d157,d157_28,o,40
d157,d157_29,o,40
d158,d158_1,c,22
d158,d158_2,c,22
d158,d158_3,c,22
d158,d158_4,c,29
d158,d158_5,c,22
d158,d158_6,c,22
d158,d158_7,h,3
d158,d158_8,h,3
d158,d158_9,h,3
d158,d158_10,c,22
d158,d158_11,c,22
d158,d158_12,c,22
d158,d158_13,c,22
d158,d158_14,c,22
d158,d158_15,c,29
d158,d158_16,h,3
d158,d158_17,h,3
d158,d158_18,h,3
d158,d158_19,c,10
d158,d158_20,h,3
d158,d158_21,h,3
d158,d158_22,n,38
d158,d158_23,o,40
d158,d158_24,o,40
d158,d158_25,n,32
d158,d158_26,c,14
d158,d158_27,c,10
d158,d158_28,h,1
d158,d158_29,o,40
d158,d158_30,h,3
d158,d158_31,h,3
d158,d158_32,h,3
d159,d159_1,c,16
d159,d159_2,c,16
d159,d159_3,c,22
d159,d159_4,c,27
d159,d159_5,c,22
d159,d159_6,c,10
d159,d159_7,c,22
d159,d159_8,c,22
d159,d159_9,c,27
d159,d159_10,c,27
d159,d159_11,c,27
d159,d159_12,c,22
d159,d159_13,c,22
d159,d159_14,c,22
d159,d159_15,c,22
d159,d159_16,c,22
d159,d159_17,h,3
d159,d159_18,h,3
d159,d159_19,h,3
d159,d159_20,h,3
d159,d159_21,h,3
d159,d159_22,h,3
d159,d159_23,h,3
d159,d159_24,h,3
d159,d159_25,h,3
d159,d159_26,h,3
d159,d159_27,n,38
d159,d159_28,o,40
d159,d159_29,o,40
d16,d16_1,c,22
d16,d16_2,c,22
d16,d16_3,c,27
d16,d16_4,c,27
d16,d16_5,c,28
d16,d16_6,c,22
d16,d16_7,c,22
d16,d16_8,c,22
d16,d16_9,c,22
d16,d16_10,c,29
d16,d16_11,c,28
d16,d16_12,c,28
d16,d16_13,c,22
d16,d16_14,c,22
d16,d16_15,c,22
d16,d16_16,c,22
d16,d16_17,n,38
d16,d16_18,n,38
d16,d16_19,o,40
d16,d16_20,o,40
d16,d16_21,o,40
d16,d16_22,o,40
d16,d16_23,h,3
d16,d16_24,h,3
d16,d16_25,h,3
d16,d16_26,h,3
d16,d16_27,h,3
d16,d16_28,h,3
d16,d16_29,h,3
d16,d16_30,h,3
d160,d160_1,c,22
d160,d160_2,c,22
d160,d160_3,c,22
d160,d160_4,c,22
d160,d160_5,c,22
d160,d160_6,c,22
d160,d160_7,h,3
d160,d160_8,h,3
d160,d160_9,n,32
d160,d160_10,h,1
d160,d160_11,h,1
d160,d160_12,br,94
d160,d160_13,n,38
d160,d160_14,n,38
d160,d160_15,o,40
d160,d160_16,o,40
d160,d160_17,o,40
d160,d160_18,o,40
d161,d161_1,c,22
d161,d161_2,c,22
d161,d161_3,c,27
d161,d161_4,c,195
d161,d161_5,c,195
d161,d161_6,c,22
d161,d161_7,h,3
d161,d161_8,h,3
d161,d161_9,c,22
d161,d161_10,c,22
d161,d161_11,c,27
d161,d161_12,c,195
d161,d161_13,h,3
d161,d161_14,h,3
d161,d161_15,c,195
d161,d161_16,c,27
d161,d161_17,c,27
d161,d161_18,c,22
d161,d161_19,c,22
d161,d161_20,c,22
d161,d161_21,h,3
d161,d161_22,h,3
d161,d161_23,c,22
d161,d161_24,c,22
d161,d161_25,c,22
d161,d161_26,c,22
d161,d161_27,h,3
d161,d161_28,h,3
d161,d161_29,h,3
d161,d161_30,h,3
d161,d161_31,n,38
d161,d161_32,n,38
d161,d161_33,o,40
d161,d161_34,o,40
d161,d161_35,o,40
d161,d161_36,o,40
d162,d162_1,c,22
d162,d162_2,c,22
d162,d162_3,c,22
d162,d162_4,c,29
d162,d162_5,c,22
d162,d162_6,c,22
d162,d162_7,h,3
d162,d162_8,h,3
d162,d162_9,h,3
d162,d162_10,c,29
d162,d162_11,c,22
d162,d162_12,c,22
d162,d162_13,c,22
d162,d162_14,c,22
d162,d162_15,c,22
d162,d162_16,h,3
d162,d162_17,h,3
d162,d162_18,h,3
d162,d162_19,n,38
d162,d162_20,n,38
d162,d162_21,n,38
d162,d162_22,n,38
d162,d162_23,o,40
d162,d162_24,o,40
d162,d162_25,o,40
d162,d162_26,o,40
d162,d162_27,o,40
d162,d162_28,o,40
d162,d162_29,o,40
d162,d162_30,o,40
d163,d163_1,c,22
d163,d163_2,c,22
d163,d163_3,c,27
d163,d163_4,c,27
d163,d163_5,c,27
d163,d163_6,c,22
d163,d163_7,h,3
d163,d163_8,h,3
d163,d163_9,c,22
d163,d163_10,c,22
d163,d163_11,c,27
d163,d163_12,c,27
d163,d163_13,h,3
d163,d163_14,h,3
d163,d163_15,c,27
d163,d163_16,c,22
d163,d163_17,c,22
d163,d163_18,h,3
d163,d163_19,h,3
d163,d163_20,c,22
d163,d163_21,c,22
d163,d163_22,c,22
d163,d163_23,h,3
d163,d163_24,h,3
d163,d163_25,n,38
d163,d163_26,n,38
d163,d163_27,o,40
d163,d163_28,o,40
d163,d163_29,o,40
d163,d163_30,o,40
d164,d164_1,c,22
d164,d164_2,c,22
d164,d164_3,c,27
d164,d164_4,c,27
d164,d164_5,c,27
d164,d164_6,c,22
d164,d164_7,h,3
d164,d164_8,h,3
d164,d164_9,c,22
d164,d164_10,c,22
d164,d164_11,c,27
d164,d164_12,c,27
d164,d164_13,h,3
d164,d164_14,h,3
d164,d164_15,c,27
d164,d164_16,c,22
d164,d164_17,c,22
d164,d164_18,h,3
d164,d164_19,h,3
d164,d164_20,c,22
d164,d164_21,c,22
d164,d164_22,c,22
d164,d164_23,h,3
d164,d164_24,h,3
d164,d164_25,n,38
d164,d164_26,n,38
d164,d164_27,o,40
d164,d164_28,o,40
d164,d164_29,o,40
d164,d164_30,o,40
d165,d165_1,c,22
d165,d165_2,c,22
d165,d165_3,c,27
d165,d165_4,c,27
d165,d165_5,c,28
d165,d165_6,c,22
d165,d165_7,h,3
d165,d165_8,h,3
d165,d165_9,h,3
d165,d165_10,c,22
d165,d165_11,c,22
d165,d165_12,c,22
d165,d165_13,c,29
d165,d165_14,h,3
d165,d165_15,h,3
d165,d165_16,h,3
d165,d165_17,c,28
d165,d165_18,c,28
d165,d165_19,c,22
d165,d165_20,c,22
d165,d165_21,c,22
d165,d165_22,c,22
d165,d165_23,h,3
d165,d165_24,h,3
d165,d165_25,h,3
d165,d165_26,n,38
d165,d165_27,o,40
d165,d165_28,o,40
d166,d166_1,c,22
d166,d166_2,c,22
d166,d166_3,c,27
d166,d166_4,c,27
d166,d166_5,c,27
d166,d166_6,c,22
d166,d166_7,h,3
d166,d166_8,h,3
d166,d166_9,h,3
d166,d166_10,c,22
d166,d166_11,c,22
d166,d166_12,c,27
d166,d166_13,c,27
d166,d166_14,h,3
d166,d166_15,h,3
d166,d166_16,c,27
d166,d166_17,c,22
d166,d166_18,c,22
d166,d166_19,h,3
d166,d166_20,h,3
d166,d166_21,c,22
d166,d166_22,c,22
d166,d166_23,c,22
d166,d166_24,h,3
d166,d166_25,n,38
d166,d166_26,o,40
d166,d166_27,o,40
d166,d166_28,o,49
d166,d166_29,c,14
d166,d166_30,o,51
d166,d166_31,c,10
d166,d166_32,h,3
d166,d166_33,h,3
d166,d166_34,h,3
d167,d167_1,c,22
d167,d167_2,c,22
d167,d167_3,c,27
d167,d167_4,c,27
d167,d167_5,c,27
d167,d167_6,c,22
d167,d167_7,h,3
d167,d167_8,h,3
d167,d167_9,c,22
d167,d167_10,c,22
d167,d167_11,c,27
d167,d167_12,c,27
d167,d167_13,h,3
d167,d167_14,h,3
d167,d167_15,c,27
d167,d167_16,c,22
d167,d167_17,c,22
d167,d167_18,h,3
d167,d167_19,h,3
d167,d167_20,c,22
d167,d167_21,c,22
d167,d167_22,c,22
d167,d167_23,h,3
d167,d167_24,h,3
d167,d167_25,n,38
d167,d167_26,n,38
d167,d167_27,o,40
d167,d167_28,o,40
d167,d167_29,o,40
d167,d167_30,o,40
d168,d168_1,c,22
d168,d168_2,c,22
d168,d168_3,c,22
d168,d168_4,c,22
d168,d168_5,c,22
d168,d168_6,c,22
d168,d168_7,h,3
d168,d168_8,h,3
d168,d168_9,h,3
d168,d168_10,h,3
d168,d168_11,o,50
d168,d168_12,c,10
d168,d168_13,h,3
d168,d168_14,h,3
d168,d168_15,h,3
d168,d168_16,n,38
d168,d168_17,o,40
d168,d168_18,o,40
d169,d169_1,c,22
d169,d169_2,c,22
d169,d169_3,c,22
d169,d169_4,c,22
d169,d169_5,c,22
d169,d169_6,c,22
d169,d169_7,h,3
d169,d169_8,h,3
d169,d169_9,h,3
d169,d169_10,f,92
d169,d169_11,n,38
d169,d169_12,n,38
d169,d169_13,o,40
d169,d169_14,o,40
d169,d169_15,o,40
d169,d169_16,o,40
d17,d17_1,c,22
d17,d17_2,c,22
d17,d17_3,c,22
d17,d17_4,c,22
d17,d17_5,c,22
d17,d17_6,c,22
d17,d17_7,h,3
d17,d17_8,h,3
d17,d17_9,h,3
d17,d17_10,n,38
d17,d17_11,o,40
d17,d17_12,o,40
d17,d17_13,n,32
d17,d17_14,n,32
d17,d17_15,h,1
d17,d17_16,h,1
d17,d17_17,h,1
d17,d17_18,h,1
d170,d170_1,c,22
d170,d170_2,c,22
d170,d170_3,c,22
d170,d170_4,c,22
d170,d170_5,c,22
d170,d170_6,c,22
d170,d170_7,h,3
d170,d170_8,h,3
d170,d170_9,h,3
d170,d170_10,h,3
d170,d170_11,n,32
d170,d170_12,c,22
d170,d170_13,c,22
d170,d170_14,n,32
d170,d170_15,c,22
d170,d170_16,c,22
d170,d170_17,c,22
d170,d170_18,c,22
d170,d170_19,h,3
d170,d170_20,h,3
d170,d170_21,h,3
d170,d170_22,h,1
d170,d170_23,h,1
d170,d170_24,n,38
d170,d170_25,o,40
d170,d170_26,o,40
d171,d171_1,c,22
d171,d171_2,c,22
d171,d171_3,c,22
d171,d171_4,c,29
d171,d171_5,c,22
d171,d171_6,c,22
d171,d171_7,h,3
d171,d171_8,h,3
d171,d171_9,h,3
d171,d171_10,c,29
d171,d171_11,c,22
d171,d171_12,c,22
d171,d171_13,c,22
d171,d171_14,c,22
d171,d171_15,c,22
d171,d171_16,h,3
d171,d171_17,h,3
d171,d171_18,h,3
d171,d171_19,n,38
d171,d171_20,n,38
d171,d171_21,n,38
d171,d171_22,n,38
d171,d171_23,o,40
d171,d171_24,o,40
d171,d171_25,o,40
d171,d171_26,o,40
d171,d171_27,o,40
d171,d171_28,o,40
d171,d171_29,o,40
d171,d171_30,o,40
d172,d172_1,c,22
d172,d172_2,c,22
d172,d172_3,c,26
d172,d172_4,c,26
d172,d172_5,c,22
d172,d172_6,c,22
d172,d172_7,n,34
d172,d172_8,n,34
d172,d172_9,c,21
d172,d172_10,n,38
d172,d172_11,o,40
d172,d172_12,o,40
d172,d172_13,h,1
d172,d172_14,h,3
d172,d172_15,h,3
d172,d172_16,h,3
d172,d172_17,h,3
d173,d173_1,c,29
d173,d173_2,c,22
d173,d173_3,c,22
d173,d173_4,c,22
d173,d173_5,c,22
d173,d173_6,c,22
d173,d173_7,h,3
d173,d173_8,h,3
d173,d173_9,h,3
d173,d173_10,c,22
d173,d173_11,c,22
d173,d173_12,c,22
d173,d173_13,c,29
d173,d173_14,c,22
d173,d173_15,c,22
d173,d173_16,h,3
d173,d173_17,h,3
d173,d173_18,h,3
d173,d173_19,h,3
d173,d173_20,n,38
d173,d173_21,n,38
d173,d173_22,n,38
d173,d173_23,o,40
d173,d173_24,o,40
d173,d173_25,o,40
d173,d173_26,o,40
d173,d173_27,o,40
d173,d173_28,o,40
d174,d174_1,c,22
d174,d174_2,c,22
d174,d174_3,c,27
d174,d174_4,c,27
d174,d174_5,c,28
d174,d174_6,c,22
d174,d174_7,h,3
d174,d174_8,h,3
d174,d174_9,h,3
d174,d174_10,c,22
d174,d174_11,c,22
d174,d174_12,c,22
d174,d174_13,c,29
d174,d174_14,h,3
d174,d174_15,h,3
d174,d174_16,c,28
d174,d174_17,c,28
d174,d174_18,c,22
d174,d174_19,c,22
d174,d174_20,c,22
d174,d174_21,c,22
d174,d174_22,h,3
d174,d174_23,h,3
d174,d174_24,h,3
d174,d174_25,n,38
d174,d174_26,n,38
d174,d174_27,o,40
d174,d174_28,o,40
d174,d174_29,o,40
d174,d174_30,o,40
d175,d175_1,c,22
d175,d175_2,c,22
d175,d175_3,c,22
d175,d175_4,c,22
d175,d175_5,c,22
d175,d175_6,c,22
d175,d175_7,h,3
d175,d175_8,h,3
d175,d175_9,o,50
d175,d175_10,c,22
d175,d175_11,c,22
d175,d175_12,o,50
d175,d175_13,c,22
d175,d175_14,c,22
d175,d175_15,c,22
d175,d175_16,c,22
d175,d175_17,n,38
d175,d175_18,o,40
d175,d175_19,o,40
d175,d175_20,cl,93
d175,d175_21,cl,93
d175,d175_22,cl,93
d175,d175_23,cl,93
d175,d175_24,cl,93
d176,d176_1,c,22
d176,d176_2,c,22
d176,d176_3,c,22
d176,d176_4,c,22
d176,d176_5,c,22
d176,d176_6,c,22
d176,d176_7,h,3
d176,d176_8,h,3
d176,d176_9,h,3
d176,d176_10,c,10
d176,d176_11,c,16
d176,d176_12,h,3
d176,d176_13,h,3
d176,d176_14,c,16
d176,d176_15,h,3
d176,d176_16,h,3
d176,d176_17,n,38
d176,d176_18,o,40
d176,d176_19,o,40
d177,d177_1,c,22
d177,d177_2,c,22
d177,d177_3,c,22
d177,d177_4,c,22
d177,d177_5,c,22
d177,d177_6,c,22
d177,d177_7,h,3
d177,d177_8,h,3
d177,d177_9,h,3
d177,d177_10,n,32
d177,d177_11,c,22
d177,d177_12,c,22
d177,d177_13,n,32
d177,d177_14,c,22
d177,d177_15,c,22
d177,d177_16,c,22
d177,d177_17,c,22
d177,d177_18,h,3
d177,d177_19,h,3
d177,d177_20,h,3
d177,d177_21,h,1
d177,d177_22,h,1
d177,d177_23,n,38
d177,d177_24,n,38
d177,d177_25,o,40
d177,d177_26,o,40
d177,d177_27,o,40
d177,d177_28,o,40
d178,d178_1,c,22
d178,d178_2,c,22
d178,d178_3,c,22
d178,d178_4,c,22
d178,d178_5,c,22
d178,d178_6,c,22
d178,d178_7,h,3
d178,d178_8,h,3
d178,d178_9,h,3
d178,d178_10,n,32
d178,d178_11,n,32
d178,d178_12,c,14
d178,d178_13,h,3
d178,d178_14,h,1
d178,d178_15,c,10
d178,d178_16,h,3
d178,d178_17,h,3
d178,d178_18,h,3
d178,d178_19,n,38
d178,d178_20,o,40
d178,d178_21,o,40
d179,d179_1,c,22
d179,d179_2,c,22
d179,d179_3,c,22
d179,d179_4,c,22
d179,d179_5,c,22
d179,d179_6,c,22
d179,d179_7,h,3
d179,d179_8,h,3
d179,d179_9,h,3
d179,d179_10,h,3
d179,d179_11,c,16
d179,d179_12,c,16
d179,d179_13,h,3
d179,d179_14,o,50
d179,d179_15,h,3
d179,d179_16,c,22
d179,d179_17,c,22
d179,d179_18,c,22
d179,d179_19,c,22
d179,d179_20,c,22
d179,d179_21,c,22
d179,d179_22,h,3
d179,d179_23,h,3
d179,d179_24,h,3
d179,d179_25,h,3
d179,d179_26,n,38
d179,d179_27,o,40
d179,d179_28,o,40
d179,d179_29,n,38
d179,d179_30,o,40
d179,d179_31,o,40
d18,d18_1,c,22
d18,d18_2,c,22
d18,d18_3,c,22
d18,d18_4,c,29
d18,d18_5,c,22
d18,d18_6,c,22
d18,d18_7,c,22
d18,d18_8,c,22
d18,d18_9,c,22
d18,d18_10,c,22
d18,d18_11,c,22
d18,d18_12,c,29
d18,d18_13,c,14
d18,d18_14,o,40
d18,d18_15,n,38
d18,d18_16,o,40
d18,d18_17,o,40
d18,d18_18,h,3
d18,d18_19,h,3
d18,d18_20,h,3
d18,d18_21,h,3
d18,d18_22,h,3
d18,d18_23,h,3
d18,d18_24,h,3
d180,d180_1,c,22
d180,d180_2,c,22
d180,d180_3,c,22
d180,d180_4,c,29
d180,d180_5,c,27
d180,d180_6,c,27
d180,d180_7,c,27
d180,d180_8,c,27
d180,d180_9,c,22
d180,d180_10,c,22
d180,d180_11,c,27
d180,d180_12,c,27
d180,d180_13,c,22
d180,d180_14,c,22
d180,d180_15,c,27
d180,d180_16,c,27
d180,d180_17,c,22
d180,d180_18,c,22
d180,d180_19,c,29
d180,d180_20,c,22
d180,d180_21,c,22
d180,d180_22,c,22
d180,d180_23,n,38
d180,d180_24,n,38
d180,d180_25,o,40
d180,d180_26,o,40
d180,d180_27,o,40
d180,d180_28,o,40
d180,d180_29,h,3
d180,d180_30,h,3
d180,d180_31,h,3
d180,d180_32,h,3
d180,d180_33,h,3
d180,d180_34,h,3
d180,d180_35,h,3
d180,d180_36,h,3
d180,d180_37,h,3
d180,d180_38,h,3
d181,d181_1,c,22
d181,d181_2,c,22
d181,d181_3,c,22
d181,d181_4,c,22
d181,d181_5,c,22
d181,d181_6,c,22
d181,d181_7,h,3
d181,d181_8,h,3
d181,d181_9,h,3
